# ncc_score distribution for frame 0
# Total values: 18091 (Veridical: 14203, Non-veridical: 3888)
filter_value	is_GT
0.997991	1
0.991687	0
-0.750521	0
0.982705	1
0.964245	1
0.910102	1
0.895188	1
0.959996	1
0.953049	0
0.96284	1
0.86383	1
0.9668	0
0.990158	1
0.969044	1
0.998998	1
0.935758	1
0.939083	1
0.272136	1
0.895978	0
0.774222	0
0.777499	0
0.955708	0
0.910167	0
0.981502	1
0.933582	1
0.985743	1
0.921473	1
0.995713	1
0.969564	1
0.970599	1
0.991014	1
0.987297	1
0.983415	1
0.981135	1
0.988722	1
0.97938	1
0.991464	1
0.986608	1
0.99882	1
0.997932	1
0.976583	1
0.971129	1
0.954943	1
0.788094	0
0.97665	1
0.802706	0
0.934388	1
0.995935	1
0.880207	1
0.915478	0
0.961944	1
0.958411	1
0.965014	1
0.987426	1
0.974724	1
0.969833	1
0.864014	1
0.94051	1
0.823672	1
0.980904	1
0.958863	1
0.870381	1
0.954037	1
0.998982	1
0.988252	1
0.997213	1
0.99089	1
0.998683	1
0.986704	1
0.728565	1
0.946474	1
0.953981	0
0.940163	1
0.950714	1
0.859647	1
0.899833	1
0.95011	1
0.945396	1
0.905734	0
0.845316	1
0.959718	1
0.986415	1
0.93363	1
0.952483	1
0.992354	1
0.908387	1
0.945702	0
0.93387	0
0.914418	0
0.936215	0
0.973564	1
0.96307	1
0.985551	1
0.946036	0
0.978272	1
0.949216	0
0.983538	1
0.995593	1
0.915242	1
0.978875	1
0.940341	1
0.971943	1
0.978498	1
0.904276	1
0.932028	1
0.821653	1
0.875541	0
0.917823	1
0.910506	1
0.934403	1
0.988721	1
0.970199	1
0.99837	1
0.948827	1
0.98737	0
0.980268	1
0.994357	1
0.977709	1
0.994262	1
0.994616	1
0.954777	0
0.955194	1
0.700939	1
0.903216	1
0.951825	1
0.979343	1
0.948484	1
0.956306	1
0.990406	1
0.972956	1
0.928853	1
0.963782	1
0.99418	1
0.955384	1
0.945846	1
0.93029	1
0.964117	1
0.941506	1
0.970536	0
0.993093	1
0.996739	1
0.996706	1
0.839765	1
0.984604	1
0.969129	1
0.968716	1
0.940563	0
0.981895	1
0.91286	0
0.935872	1
0.942296	0
0.958353	1
0.956509	1
0.893999	1
0.93594	1
0.967419	0
0.97536	0
0.965516	0
0.993992	1
0.989282	1
0.985851	1
0.985265	1
0.994707	1
0.998866	1
0.997974	1
0.998863	1
0.988173	1
0.996258	1
0.996756	1
0.990148	0
0.992942	0
0.985922	1
0.957656	1
0.989075	1
0.978858	1
0.97129	1
0.984831	1
0.939328	1
0.937787	1
0.975288	1
0.90974	1
0.887047	0
0.961468	1
0.934751	1
0.875097	0
0.987688	1
0.986366	1
0.97292	0
0.935508	0
0.954246	1
0.969489	1
0.874103	1
0.986322	0
0.948459	1
0.995996	1
0.951344	1
0.989484	1
0.721189	0
0.976886	0
0.950312	0
0.936601	0
0.97055	1
0.97187	1
0.963498	0
0.93093	1
0.955471	1
0.892566	1
0.872151	1
0.932367	1
0.951418	1
0.985251	1
0.996901	1
0.997542	1
0.844545	1
0.622522	1
0.990496	1
0.971294	1
0.764347	1
0.990562	1
0.995666	1
0.998017	1
0.992742	1
0.891981	1
0.957672	1
0.764954	1
0.938088	0
0.955087	1
0.971584	1
0.950202	1
0.995238	1
0.890396	1
0.824784	1
0.938063	1
0.983833	1
0.910021	0
0.860188	0
0.988985	1
0.946344	1
0.934138	1
0.960345	1
0.983423	1
0.961869	1
0.985669	1
0.996569	0
0.953069	1
0.99571	1
0.97643	1
0.935927	1
0.991029	0
0.97371	1
0.96247	1
0.96511	1
0.980191	1
0.81012	1
0.979022	1
0.941298	1
0.809584	0
0.961032	1
0.975836	1
0.981935	1
0.980645	1
0.993109	1
0.92912	1
0.968439	1
0.944106	1
0.994968	1
0.822857	1
0.877573	0
0.955518	1
0.985764	1
0.996041	1
0.970198	1
0.988589	1
0.952907	1
0.9468	1
0.958271	1
0.97002	0
0.957362	1
0.92321	0
0.883204	1
0.949584	1
0.958887	1
0.960574	1
0.743315	1
0.968102	1
0.717144	1
0.881814	1
0.95237	1
0.994774	1
0.975389	0
0.977091	1
0.974971	1
0.820947	0
0.905007	0
0.990671	1
0.989237	1
0.983735	1
0.991764	1
0.973257	1
0.952208	1
0.947612	0
0.816764	1
0.942972	1
0.988072	1
0.975399	1
0.968603	1
0.974568	0
0.926604	0
0.934677	1
0.971638	1
0.965694	1
0.961859	1
0.991177	1
0.951723	1
0.950812	1
0.980546	0
0.998753	1
0.992505	1
0.940388	1
0.979852	1
0.993875	1
0.924084	1
0.936531	1
0.989949	1
0.939545	1
0.952956	1
0.798431	0
0.707897	0
0.963659	0
0.965826	0
0.990795	1
0.954921	1
0.956439	1
0.970617	1
0.858518	1
0.968831	1
0.962407	0
0.969484	0
0.987775	1
0.995873	1
0.909161	1
0.969605	1
0.959984	1
0.963166	1
0.970716	1
0.955754	1
0.827913	1
0.931511	0
0.998035	1
0.867189	1
0.94764	1
0.955884	0
0.991891	1
0.975501	1
0.775233	0
0.888283	0
0.899818	0
0.910794	1
0.951032	1
0.935612	1
0.904062	1
0.829713	1
0.831967	1
0.820267	1
0.929298	1
0.992454	1
0.814395	0
0.989223	1
0.904174	1
0.88789	1
0.949575	0
0.136962	0
0.981552	1
0.925833	0
0.987328	1
0.998806	1
0.941819	0
0.973629	1
0.974867	1
0.986811	1
0.882209	1
0.901433	1
0.889665	1
0.963585	1
0.965031	0
0.606052	0
0.807798	0
0.947628	1
0.927597	1
0.973074	1
0.975089	0
0.956252	0
0.982542	0
0.986246	1
0.990944	1
0.99895	1
0.978063	1
0.913635	0
0.976287	1
0.991932	1
0.973916	0
0.987125	0
0.97283	1
0.978643	0
0.970966	0
0.976117	1
0.973242	1
0.956385	1
0.993068	1
0.961005	1
0.969344	1
0.899722	1
0.987933	1
0.949427	0
0.944611	1
0.973887	1
0.856461	1
0.98002	1
0.960855	1
0.995111	1
0.954127	1
0.998368	1
0.998884	1
0.997958	1
0.4188	1
0.998251	1
0.953459	1
0.960652	1
0.980347	1
0.989356	0
0.988972	0
0.948555	1
0.911242	1
0.924443	0
0.940387	1
0.994299	0
0.937361	0
0.856874	1
0.919467	1
0.933013	0
0.991623	1
0.982451	1
0.983729	1
0.992012	1
0.931553	0
0.907506	0
0.882548	0
0.811873	1
0.885217	1
0.893875	0
0.788975	0
0.996834	1
0.963417	1
0.638758	1
0.766708	1
0.987909	1
0.97768	1
0.953967	1
0.972147	1
0.98552	1
0.985439	1
0.975744	1
0.860752	0
0.978844	1
0.949251	1
0.940387	1
0.931787	0
0.9107	1
0.96852	1
0.989915	1
0.962275	1
0.971228	1
0.941336	1
0.953604	0
0.830292	0
0.947685	0
0.961123	0
0.939231	0
0.95315	0
0.980682	1
0.976573	1
0.975909	0
0.977144	1
0.966172	1
0.959386	1
0.960768	1
0.950665	1
0.927094	1
0.99118	1
0.989015	1
0.973128	1
0.955088	1
0.896119	0
0.928547	1
0.994009	1
0.959282	1
-0.873117	1
0.947626	1
0.984301	1
0.932493	1
0.844353	0
0.990477	1
0.930015	1
0.943462	1
0.933591	1
0.878678	1
0.998508	1
0.950564	1
0.988084	1
0.971772	1
0.984564	1
0.965108	0
0.902063	1
0.730365	1
0.899212	1
0.908335	1
0.984462	1
0.983393	0
0.933482	1
0.931383	1
0.939827	1
0.998935	1
0.99483	1
0.979095	1
0.92053	0
0.800842	1
0.985906	1
0.95212	0
0.984876	0
0.979508	1
0.99466	1
0.998947	1
0.97483	1
0.976317	1
0.904281	0
0.973385	1
0.930202	1
0.908962	1
0.960101	1
0.987874	0
0.841054	0
0.801101	1
0.882151	1
0.881562	1
0.954156	1
0.873809	1
0.980754	1
0.946335	1
0.984342	1
0.963071	0
0.993279	1
0.95962	1
0.954584	1
0.957386	1
0.98478	1
0.994134	1
0.993131	1
0.994596	1
0.993345	1
0.891543	0
0.943241	1
0.991112	1
0.95042	1
0.737717	0
0.995504	1
0.938028	1
0.917197	1
0.957651	0
-0.21748	0
0.974253	1
0.926443	1
0.950781	1
0.879274	0
0.931255	1
0.843745	1
0.957929	1
0.828791	1
0.953379	1
0.992237	1
0.977869	1
0.985167	0
0.987747	0
0.993819	1
0.98641	1
0.905459	1
0.998401	1
0.996392	1
0.906439	1
0.994232	1
0.951693	0
0.980123	1
0.967791	1
0.980159	1
0.914529	0
0.974335	1
0.991995	1
0.937248	0
0.944473	0
0.91349	0
0.960626	0
0.920271	1
0.939926	1
0.95303	1
0.919699	1
0.833878	1
0.993147	0
0.993744	1
0.953661	1
0.953315	1
0.949681	1
0.900855	1
0.996579	1
0.874547	1
0.970701	0
0.992604	1
0.927689	1
0.99495	1
0.826702	1
0.327266	0
0.979483	1
0.989917	1
0.942794	1
0.966735	0
0.938461	0
0.962307	1
0.888581	1
0.918507	1
0.939225	1
0.979165	1
0.837771	1
0.979	0
0.998366	1
0.994581	1
0.98192	1
0.973545	1
0.950522	1
0.931839	0
0.950264	1
0.925759	1
0.985813	1
0.988342	1
0.952169	1
0.974803	1
0.971003	1
0.96172	1
0.946378	0
0.851998	1
0.987104	1
0.986297	1
0.972885	1
0.98205	1
0.990292	1
0.967959	1
0.961676	0
0.972201	0
0.958982	0
0.953335	0
0.955625	1
0.933548	1
0.97557	1
0.968924	0
0.972664	1
0.932293	1
0.974846	1
0.980698	1
0.894758	1
0.815611	1
0.998692	1
0.99818	1
0.740488	1
0.868823	1
0.929661	0
0.987876	1
0.918958	1
0.935165	1
0.88498	1
0.955473	1
0.958571	1
0.969759	1
0.908061	1
0.995717	1
0.997219	1
0.994579	1
0.960371	1
0.946088	0
0.984655	1
0.965455	1
0.948056	1
0.909109	1
0.964554	1
0.990662	1
0.862273	0
0.825866	1
0.996059	1
0.98199	1
0.974496	1
0.974922	1
0.977159	1
0.957321	1
0.989334	1
0.960305	1
0.958233	1
0.861695	1
0.934863	1
0.896671	1
0.929293	1
0.88696	1
0.91311	1
0.957265	1
0.936025	1
0.995058	1
0.954897	1
0.945147	1
0.959731	1
0.933197	1
0.998344	1
0.998833	1
0.98924	1
0.990853	1
0.965501	1
0.984879	1
0.95016	1
0.937913	1
0.963011	1
0.680899	1
0.962972	1
0.896084	1
0.929907	1
0.847664	1
0.957663	1
0.919077	0
0.952894	0
0.960803	1
0.830151	1
0.98478	1
0.795814	0
0.981134	0
0.937719	0
0.910047	1
0.856298	0
0.959024	1
0.933738	0
0.973557	1
0.955363	0
0.954846	0
0.924817	1
0.965201	1
0.941518	1
0.989576	1
0.765947	0
0.98409	1
0.931856	0
0.918097	0
0.933419	0
0.989223	1
0.965544	1
0.984683	1
0.944954	1
0.980929	1
0.954097	1
0.625346	0
0.994548	1
0.979244	1
0.991612	0
0.97382	1
0.994153	1
0.974848	1
0.932615	0
0.965528	1
0.982516	0
0.91759	0
0.951351	0
0.975094	1
0.997014	1
0.993764	1
0.956498	1
0.990344	1
0.983874	1
0.973542	1
0.745885	1
0.959271	1
0.924305	1
0.83926	1
0.90976	0
0.896342	1
0.951687	1
0.993969	1
0.998756	1
0.983159	1
0.997531	1
0.939894	1
0.988149	1
0.760374	1
0.959764	0
0.988531	1
0.985222	1
0.993634	1
0.978884	1
0.979105	1
0.981695	0
0.92362	0
0.966638	1
0.939067	1
0.979066	1
0.95267	1
0.990941	0
0.64386	1
0.952306	1
0.99496	1
0.997639	1
0.9664	1
0.905842	1
0.953685	1
0.98601	0
0.990366	1
0.991769	1
0.989661	1
0.986716	1
0.953772	1
0.988201	0
0.996694	1
0.985181	1
0.978727	1
0.909676	1
0.952491	1
0.96901	1
0.969916	1
0.954997	0
0.866734	1
0.984444	1
0.957128	1
0.873455	1
0.944752	1
0.932368	1
0.918716	1
0.935373	1
0.922165	1
0.939125	1
0.903232	1
0.985356	1
0.99679	1
0.961822	1
0.846138	1
0.990304	1
0.986107	1
0.9752	1
0.869314	1
0.991296	1
0.99522	0
0.995148	1
0.996656	0
0.995168	0
0.996654	0
0.927728	0
0.9347	1
0.991937	1
0.998398	1
0.972289	1
0.995424	0
0.950025	1
0.99548	0
0.978031	1
0.994178	0
0.913441	1
0.89564	0
0.96002	1
0.911855	1
0.97684	1
0.930961	1
0.953255	0
0.955538	1
0.973025	1
0.939447	1
0.942265	1
0.873779	1
0.963191	1
0.974745	1
0.846752	1
0.936754	1
0.998657	1
0.989981	1
0.934079	0
0.944201	1
0.994621	1
0.992316	1
0.946001	0
0.947934	1
0.987588	1
0.991789	1
0.985764	1
0.988579	0
0.989912	1
0.970878	1
0.994041	1
0.959099	1
0.987685	1
0.995527	1
0.96933	1
0.713456	0
0.949368	0
0.97671	1
0.987823	1
0.978237	1
0.983131	1
0.930458	1
0.951948	1
0.911682	1
0.967601	1
0.498444	0
0.970449	1
0.973358	1
0.942211	1
0.963767	0
0.994982	1
0.995626	1
0.990104	1
0.997969	1
0.994836	1
0.824743	1
0.742422	0
0.89232	0
0.991608	1
0.995046	1
0.975285	1
0.991066	1
0.99418	1
0.996065	1
0.993385	0
0.998573	1
0.969797	1
0.996118	1
0.931021	1
0.984752	1
0.962866	1
0.907361	0
0.972137	1
0.767289	1
0.71552	0
0.912479	0
0.978511	1
0.985057	0
0.928613	1
0.848606	0
0.883204	1
0.880737	1
0.99211	1
0.973477	1
0.820644	1
0.806488	0
0.864093	1
0.986222	1
0.949432	1
0.95256	1
0.965916	0
0.994076	1
0.991204	1
0.969281	0
0.951387	1
0.968185	1
0.989961	1
0.989129	1
0.99449	1
0.889251	1
0.872706	1
0.878045	1
0.89005	1
0.968536	1
0.937171	1
0.993763	1
0.975764	1
0.987727	1
0.98866	1
0.91356	0
0.912601	1
0.988957	1
0.989275	1
0.952767	1
0.752657	0
0.977839	1
0.984062	1
0.983126	1
0.993552	1
0.935955	0
0.936725	1
0.980075	1
0.954554	1
0.974851	0
0.981954	1
0.852468	1
0.835622	1
0.96838	0
0.978335	0
0.872803	1
0.962186	1
0.855347	0
0.921941	1
0.69831	1
0.971167	1
0.981746	1
0.963407	1
0.986271	1
0.924288	1
0.917409	1
0.95303	1
0.995722	1
0.996608	1
0.997086	1
0.983733	0
0.98574	1
0.971417	1
0.966344	1
0.96696	1
0.992159	1
0.989758	1
0.986934	1
0.952153	0
0.979708	1
0.96807	0
0.749491	1
0.980086	1
0.992578	1
0.974273	1
0.853637	1
0.882103	1
0.99191	1
0.962681	1
0.929604	1
0.996284	1
0.949288	1
0.987326	1
0.980216	1
0.988756	1
0.994247	1
0.983916	1
0.829359	1
0.982589	1
0.998903	1
0.83654	0
0.975281	1
0.981833	1
0.946424	0
0.935265	0
0.930897	1
0.821749	1
0.987721	1
0.904651	1
0.960906	1
0.905373	1
0.51246	1
0.971253	0
0.918627	1
0.938932	1
0.905671	1
0.985799	1
0.986952	0
0.954686	1
0.939351	1
0.955636	1
0.997219	1
0.968689	1
0.962994	1
0.99032	1
0.931901	1
0.966153	1
0.956104	0
0.96869	1
0.910469	1
0.983727	0
0.969624	1
0.977031	1
0.934726	0
0.920355	0
0.920887	1
0.872095	1
0.998623	1
0.933389	1
0.98669	1
-0.537473	1
0.894157	1
0.945319	1
0.976071	1
0.984339	0
0.980773	1
0.980924	1
0.974989	1
0.968471	0
0.965548	0
0.915323	0
0.965146	0
0.922974	1
0.935996	1
0.991184	1
0.94373	0
0.866196	1
0.970694	1
0.974444	0
0.982091	0
0.974211	1
0.930691	1
0.94006	0
0.994454	1
0.941497	1
0.977489	1
0.990874	0
0.984408	1
0.991526	1
0.979322	1
0.845675	1
0.995517	1
0.911088	1
0.987817	1
0.955166	0
0.98797	1
0.977218	1
0.708775	1
0.573932	0
0.990283	1
0.976659	1
0.79616	1
0.92816	1
0.976899	1
0.763515	1
0.94922	1
0.971909	1
0.965607	1
0.583976	0
0.979466	1
0.974115	1
0.817481	1
0.818274	1
0.990167	1
0.98694	1
0.93212	1
0.957446	1
0.979894	1
0.996125	1
0.759702	1
0.994873	1
0.99885	1
0.96846	1
0.927691	1
0.990424	1
0.943661	1
0.993893	1
0.978381	1
0.974507	1
0.897632	0
0.934792	1
0.984025	1
0.999069	1
0.997462	1
0.995562	1
0.933369	1
0.826484	1
0.969357	1
0.941982	1
0.94284	1
0.987166	0
0.882579	1
0.90453	1
0.981504	0
0.872211	1
0.9687	1
0.972402	1
0.929203	1
0.957905	1
0.966593	0
0.836589	1
0.970513	1
0.957036	1
0.958093	0
0.957249	1
0.980152	1
0.858438	0
0.97921	1
0.959188	1
0.859423	0
0.976802	1
0.994158	1
0.995702	1
0.998814	1
0.992115	1
0.952894	1
0.990887	1
0.776028	1
0.964488	1
0.985221	1
0.986604	0
0.991418	0
0.992405	0
0.992591	0
0.986347	1
0.980617	0
0.940088	1
0.991005	1
0.891097	1
0.935532	0
0.989917	1
0.948089	1
0.965332	1
0.937745	1
0.973164	1
0.972334	1
0.928781	1
0.858067	1
0.996696	1
0.973051	0
0.970295	1
0.973417	0
0.986118	1
0.988147	1
0.932458	0
0.933609	1
0.983996	1
0.951739	1
0.99601	1
0.943086	0
0.928578	0
0.936606	0
0.996531	1
0.9866	1
0.993253	1
0.997195	1
0.994557	0
0.994582	0
0.992951	0
0.980213	1
0.921812	1
0.862933	1
0.954016	1
0.919321	0
0.916416	1
0.974376	1
0.994733	1
0.990389	1
0.986446	1
0.628464	1
0.972001	1
0.968925	1
0.94039	1
0.985954	1
0.982091	1
0.973733	1
0.660933	1
0.911334	1
0.941481	1
0.989271	1
0.983063	1
0.986088	1
0.992148	1
0.819474	1
0.990306	0
0.976079	0
0.978458	0
0.995912	1
0.959653	1
0.977052	1
0.932845	0
0.884774	1
0.945277	0
0.946922	1
0.961177	1
0.97998	1
0.958856	1
0.900943	1
0.952978	0
0.991173	1
0.927222	1
0.956295	1
0.971012	1
0.968641	1
0.961694	1
0.978978	1
0.95045	0
0.888656	1
0.734092	1
0.909179	1
0.992153	1
0.982833	1
0.98288	1
0.983683	1
0.830442	1
0.969536	1
0.959261	1
0.991972	1
0.994185	1
0.984892	1
0.992921	1
0.864834	1
0.954195	1
0.994257	1
0.998823	1
0.936145	0
0.994694	1
0.876019	1
0.892754	1
0.990506	1
0.96101	1
0.942154	1
0.868064	0
0.980705	1
0.906794	1
0.993863	1
0.934106	1
0.920746	1
0.935247	1
0.775079	1
0.494135	0
0.965684	1
0.979621	0
0.978948	1
0.974588	1
0.990952	1
0.914039	0
0.933977	1
0.985132	1
0.981055	0
0.892488	0
0.86245	0
0.871537	1
0.962529	1
0.921609	1
0.998066	1
0.997812	1
0.998925	1
0.997367	1
0.960765	1
0.942457	1
0.949652	0
0.878993	0
0.99488	1
0.988628	1
0.991469	1
0.954415	1
0.990623	0
0.980092	1
0.998187	1
0.948483	1
0.999224	1
0.97883	1
0.957892	0
0.993915	1
0.754484	0
0.979088	1
0.993364	1
0.962257	0
0.978404	0
0.993853	1
0.92595	0
0.947291	1
0.994062	1
0.99458	1
0.952654	1
0.969927	1
0.560652	1
0.883059	0
0.865227	0
0.995581	1
0.970272	1
0.998308	1
0.99841	1
0.991466	1
0.944001	1
0.921817	1
0.932746	1
0.916749	1
0.940162	0
0.980672	1
0.953904	1
0.992034	1
