# sift_distance distribution for frame 0
# Total values: 131800 (Veridical: 40910, Non-veridical: 90890)
filter_value	is_GT
112.37	0
420.205	0
156.144	1
107.713	0
104.752	0
284.278	0
420.696	0
30.8058	1
42.7668	1
108.023	0
284.939	0
87.0689	0
145.842	0
141.202	0
369.517	0
367.886	0
86.5794	0
140.378	0
366.842	0
37.47	1
115.568	1
161.022	0
116.314	1
114.525	1
114.978	1
121.503	1
358.494	1
349.387	1
87.2238	1
87.6014	1
312.915	0
81.523	1
340.955	0
93.1826	1
604.912	0
669.675	0
533.107	0
404.061	0
495.248	0
497.634	0
616.151	0
71.3933	1
59.1101	1
68	1
168.104	0
121.869	1
86.2148	1
267.314	0
260.423	0
273.167	0
290.728	0
289.955	0
337.037	0
328.222	0
319.947	0
564.482	0
90.4323	1
173.309	1
137.066	1
117.371	1
97.1494	1
155.499	0
396.583	0
412.536	0
483.571	0
120.992	1
51.4684	1
354.756	0
525.356	0
532.394	0
497.607	0
173.816	1
231.586	1
231.884	1
166.739	0
507.857	0
129.757	1
117.265	1
110.313	1
510.15	0
136.14	0
127.82	1
195.806	0
46.4866	1
194.556	0
34.7851	1
501.742	0
464.424	0
238.703	1
533.411	0
468.327	0
420.375	0
224.956	1
525.623	0
429.185	0
627.72	0
197.127	1
312.914	1
611.887	0
535.234	0
592.684	0
171.511	1
267.501	0
484.074	0
537.09	0
483.313	0
445.538	0
443.612	0
322.882	1
325.578	1
364.49	1
285.706	0
154.295	0
222.773	0
464.895	0
476.72	0
491.556	0
505.97	0
518.325	0
464.106	0
477.871	0
252.541	0
273.726	0
49.4267	1
240.601	1
561.177	0
567.02	0
575.343	0
520.081	0
504.815	0
442.413	0
483.19	0
612.049	0
540.975	0
541.253	0
570.659	0
529.623	0
554.345	0
558.178	0
548.959	0
443.872	0
552.427	0
383.535	0
87.3728	1
149.91	0
66.4605	1
115.754	0
49.6387	1
72.9315	1
491.804	0
635.838	0
37.2559	1
627.919	0
312.072	0
27.4226	1
27.6948	1
181.436	0
58.0259	1
9.38083	1
228.403	0
222.443	0
39.3192	1
445.24	0
120.354	1
438.243	0
93.043	1
532.961	0
472.412	0
526.787	0
108.95	1
122.719	1
369.543	0
369.301	0
369.203	0
405.421	0
405.602	0
305.918	0
210.863	0
209.75	0
208.919	0
255.012	0
255.294	1
362.058	1
333.153	1
333.029	1
332.863	0
369.123	0
369.893	0
458.04	0
476.525	0
410.984	0
417.122	0
416.593	0
418.355	0
436.794	0
461.642	0
426.176	0
426.684	0
183.041	0
317.463	1
306.273	1
287.984	1
282.466	0
408.621	0
410.073	0
486.047	0
493.692	0
492.758	0
553.596	0
527.733	0
526.896	0
525.743	0
466.446	0
425.208	0
424.314	0
386.185	0
381.846	0
287.023	0
284.947	0
287.425	0
158.644	0
159.621	0
190.137	1
145.327	1
138.914	1
134.052	0
136.389	0
147.102	0
160.596	0
256.195	0
270.004	0
282.836	0
358.302	0
360.136	0
422.219	0
408.424	0
457.171	0
510.424	0
550.005	0
577.458	0
576.279	0
454.098	0
453.844	0
429.416	0
430.135	0
379.757	0
377.578	0
266.638	0
266.738	0
189.148	1
397.078	0
85.188	1
83.4206	1
171.528	0
147.648	0
131.864	0
90.7965	0
92.4013	0
132.201	0
166.316	0
85.5804	0
94.2497	0
89.6437	0
89.1908	0
51.5364	1
62.8888	1
85.8429	1
86.8447	0
246.463	1
236.489	1
319.313	1
193.238	1
151.947	1
241.75	1
591.89	0
