(KF:0, CF:1), left temporal matches: 7935, right temporal matches: 7935
(KF:1, CF:2), left temporal matches: 8154, right temporal matches: 8154
(KF:2, CF:3), left temporal matches: 7957, right temporal matches: 7957
(KF:3, CF:4), left temporal matches: 7238, right temporal matches: 7238
(KF:4, CF:5), left temporal matches: 7131, right temporal matches: 7131
(KF:5, CF:6), left temporal matches: 8085, right temporal matches: 8085
(KF:6, CF:7), left temporal matches: 7626, right temporal matches: 7626
(KF:7, CF:8), left temporal matches: 7423, right temporal matches: 7423
(KF:8, CF:9), left temporal matches: 7362, right temporal matches: 7362
(KF:9, CF:10), left temporal matches: 7617, right temporal matches: 7617
(KF:10, CF:11), left temporal matches: 7365, right temporal matches: 7365
(KF:11, CF:12), left temporal matches: 6877, right temporal matches: 6877
(KF:12, CF:13), left temporal matches: 7298, right temporal matches: 7298
(KF:13, CF:14), left temporal matches: 7611, right temporal matches: 7611
(KF:14, CF:15), left temporal matches: 7835, right temporal matches: 7835
(KF:15, CF:16), left temporal matches: 7842, right temporal matches: 7842
(KF:16, CF:17), left temporal matches: 7639, right temporal matches: 7639
(KF:17, CF:18), left temporal matches: 7433, right temporal matches: 7433
(KF:18, CF:19), left temporal matches: 7351, right temporal matches: 7351
(KF:19, CF:20), left temporal matches: 7266, right temporal matches: 7266
(KF:20, CF:21), left temporal matches: 7530, right temporal matches: 7530
(KF:21, CF:22), left temporal matches: 7458, right temporal matches: 7458
(KF:22, CF:23), left temporal matches: 7341, right temporal matches: 7341
(KF:23, CF:24), left temporal matches: 7259, right temporal matches: 7259
(KF:24, CF:25), left temporal matches: 7046, right temporal matches: 7046
(KF:25, CF:26), left temporal matches: 6860, right temporal matches: 6860
(KF:26, CF:27), left temporal matches: 6739, right temporal matches: 6739
(KF:27, CF:28), left temporal matches: 6591, right temporal matches: 6591
(KF:28, CF:29), left temporal matches: 6880, right temporal matches: 6880
(KF:29, CF:30), left temporal matches: 6320, right temporal matches: 6320
(KF:30, CF:31), left temporal matches: 6012, right temporal matches: 6012
(KF:31, CF:32), left temporal matches: 6207, right temporal matches: 6207
(KF:32, CF:33), left temporal matches: 6251, right temporal matches: 6251
(KF:33, CF:34), left temporal matches: 6230, right temporal matches: 6230
(KF:34, CF:35), left temporal matches: 6239, right temporal matches: 6239
(KF:35, CF:36), left temporal matches: 6376, right temporal matches: 6376
(KF:36, CF:37), left temporal matches: 6761, right temporal matches: 6761
(KF:37, CF:38), left temporal matches: 6425, right temporal matches: 6425
(KF:38, CF:39), left temporal matches: 6367, right temporal matches: 6367
(KF:39, CF:40), left temporal matches: 5980, right temporal matches: 5980
(KF:40, CF:41), left temporal matches: 6102, right temporal matches: 6102
(KF:41, CF:42), left temporal matches: 6677, right temporal matches: 6677
(KF:42, CF:43), left temporal matches: 7210, right temporal matches: 7210
(KF:43, CF:44), left temporal matches: 7229, right temporal matches: 7229
(KF:44, CF:45), left temporal matches: 7059, right temporal matches: 7059
(KF:45, CF:46), left temporal matches: 6884, right temporal matches: 6884
(KF:46, CF:47), left temporal matches: 6756, right temporal matches: 6756
(KF:47, CF:48), left temporal matches: 6371, right temporal matches: 6371
(KF:48, CF:49), left temporal matches: 6487, right temporal matches: 6487
(KF:49, CF:50), left temporal matches: 6689, right temporal matches: 6689
(KF:50, CF:51), left temporal matches: 6972, right temporal matches: 6972
(KF:51, CF:52), left temporal matches: 6802, right temporal matches: 6802
(KF:52, CF:53), left temporal matches: 6831, right temporal matches: 6831
(KF:53, CF:54), left temporal matches: 6797, right temporal matches: 6797
(KF:54, CF:55), left temporal matches: 6682, right temporal matches: 6682
(KF:55, CF:56), left temporal matches: 7168, right temporal matches: 7168
(KF:56, CF:57), left temporal matches: 6694, right temporal matches: 6694
(KF:57, CF:58), left temporal matches: 7029, right temporal matches: 7029
(KF:58, CF:59), left temporal matches: 7067, right temporal matches: 7067
(KF:59, CF:60), left temporal matches: 6837, right temporal matches: 6837
(KF:60, CF:61), left temporal matches: 6590, right temporal matches: 6590
